,zone,pole,lat,lng
293,Downtown,14-209,32.707692,-117.151801
294,Downtown,14-213,32.708018,-117.151802
295,Downtown,14-401,32.709957,-117.151825
296,Downtown,15-400,32.709735,-117.150459
297,Downtown,15-402,32.70975,-117.150321
298,Downtown,14-506,32.711094,-117.151948
299,Downtown,14-508,32.711061,-117.151999
300,Downtown,14-510,32.711102,-117.152011
301,Downtown,14-512,32.711106,-117.152026
302,Downtown,14-514,32.711119,-117.152032
303,Downtown,14-516,32.711193,-117.151903
304,Downtown,14-518,32.711179,-117.15196
305,Downtown,14-520,32.711242,-117.151877
306,Downtown,14-521,32.710677,-117.151834
307,Downtown,14-522,32.711284,-117.151851
308,Downtown,14-523,32.710836,-117.151835
309,Downtown,14-524,32.711333,-117.151909
310,Downtown,14-525,32.711015,-117.151837
311,Downtown,14-603,32.7117,-117.151846
312,Downtown,14-605,32.711819,-117.151848
313,Downtown,14-607,32.711918,-117.15185
314,Downtown,14-609,32.712036,-117.151852
315,Downtown,14-611,32.712135,-117.151854
316,Downtown,14-613,32.712254,-117.151856
317,Downtown,14-615,32.712353,-117.151858
318,Downtown,14-617,32.712472,-117.151861
319,Downtown,14-621,32.712338,-117.152005
320,Downtown,14-623,32.712352,-117.151982
321,Downtown,14-625,32.712472,-117.151861
322,Downtown,14-700,32.712733,-117.152046
323,Downtown,14-702,32.71279,-117.152047
324,Downtown,14-704,32.712848,-117.152047
325,Downtown,14-706,32.712905,-117.152048
326,Downtown,14-707,32.712945,-117.151866
327,Downtown,14-708,32.71302,-117.152048
328,Downtown,14-709,32.71306,-117.151867
329,Downtown,14-710,32.713135,-117.152049
330,Downtown,14-713,32.713175,-117.151867
331,Downtown,14-715,32.71329,-117.151868
332,Downtown,14-716,32.713346,-117.152051
333,Downtown,14-717,32.713405,-117.151869
334,Downtown,14-718,32.713281,-117.152028
335,Downtown,14-719,32.71352,-117.15187
336,Downtown,14-720,32.713577,-117.152052
337,Downtown,14-722,32.713424,-117.152046
338,Downtown,14-801,32.713778,-117.151872
339,Downtown,14-803,32.713855,-117.151872
340,Downtown,14-805,32.713912,-117.151873
341,Downtown,14-807,32.713989,-117.151873
342,Downtown,14-809,32.714046,-117.151874
343,Downtown,14-811,32.714123,-117.151874
344,Downtown,14-813,32.7142,-117.151875
345,Downtown,14-815,32.714257,-117.151875
346,Downtown,14-817,32.714334,-117.151876
347,Downtown,14-819,32.714392,-117.151876
348,Downtown,14-821,32.714468,-117.151877
349,Downtown,14-823,32.714526,-117.151877
350,Downtown,14-825,32.714603,-117.151878
351,Downtown,14-911,32.714821,-117.151879
352,Downtown,14-913,32.714898,-117.15188
353,Downtown,14-915,32.714955,-117.15188
354,Downtown,14-917,32.715031,-117.151881
355,Downtown,14-919,32.715088,-117.151881
356,Downtown,14-921,32.715164,-117.151882
357,Downtown,14-923,32.71524,-117.151882
358,Downtown,14-925,32.715297,-117.151883
359,Downtown,14-927,32.715373,-117.151883
360,Downtown,14-929,32.71543,-117.151883
361,Downtown,14-931,32.715507,-117.151884
362,Downtown,14-933,32.715564,-117.151884
363,Downtown,14-935,32.71564,-117.151885
364,Downtown,15-300,32.708432,-117.150162
365,Downtown,15-302,32.708536,-117.150005
366,Downtown,15-303,32.708818,-117.150491
367,Downtown,15-304,32.709058,-117.150446
368,Downtown,15-305,32.709083,-117.15047
369,Downtown,15-307,32.709141,-117.150483
370,Downtown,15-309,32.70888,-117.150331
371,Downtown,15-311,32.709055,-117.150372
372,Downtown,15-313,32.709215,-117.150267
373,Downtown,15-315,32.70922,-117.150272
374,Downtown,15-317,32.709216,-117.150268
375,Downtown,15-319,32.709209,-117.150268
376,Downtown,15-321,32.709218,-117.150267
377,Downtown,15-400E,32.709913,-117.150491
378,Downtown,15-408,32.70975,-117.150321
379,Downtown,15-410,32.709767,-117.150296
380,Downtown,15-412,32.709737,-117.150334
381,Downtown,15-414,32.709771,-117.150291
382,Downtown,15-416,32.709768,-117.150287
383,Downtown,15-418,32.709747,-117.150309
384,Downtown,15-420,32.709761,-117.150321
385,Downtown,15-602,32.711671,-117.150108
386,Downtown,15-604,32.711815,-117.149893
387,Downtown,15-606,32.712263,-117.149573
388,Downtown,15-608,32.711836,-117.149902
389,Downtown,15-610,32.712107,-117.149818
390,Downtown,15-612,32.712013,-117.150265
391,Downtown,15-614,32.712034,-117.149948
392,Downtown,15-618,32.712109,-117.149885
393,Downtown,15-620,32.712101,-117.149893
394,Downtown,15-621,32.712133,-117.150292
395,Downtown,15-623,32.712214,-117.150293
396,Downtown,15-700,32.712694,-117.150483
397,Downtown,15-702,32.712732,-117.150483
398,Downtown,15-704,32.71277,-117.150483
399,Downtown,15-706,32.712807,-117.150484
400,Downtown,15-707,32.712599,-117.150625
401,Downtown,15-708,32.712845,-117.150484
402,Downtown,15-709,32.712638,-117.15068
403,Downtown,15-710,32.712902,-117.150485
404,Downtown,15-711,32.712922,-117.150303
405,Downtown,15-712,32.712977,-117.150485
406,Downtown,15-713,32.712997,-117.150304
407,Downtown,15-714,32.713053,-117.150486
408,Downtown,15-715,32.713073,-117.150304
409,Downtown,15-716,32.713161,-117.150487
410,Downtown,15-721,32.713203,-117.150306
411,Downtown,15-722,32.713243,-117.150488
412,Downtown,15-723,32.713284,-117.150306
413,Downtown,15-724,32.713324,-117.150489
414,Downtown,15-725,32.713366,-117.150307
415,Downtown,15-726,32.713425,-117.15049
416,Downtown,15-728,32.713466,-117.15049
417,Downtown,15-730,32.713506,-117.150491
418,Downtown,15-732,32.713547,-117.150491
419,Downtown,15-734,32.713588,-117.150492
420,Downtown,15-736,32.713628,-117.150492
421,Downtown,15-803,32.713904,-117.150397
422,Downtown,15-805,32.713899,-117.150483
423,Downtown,15-807,32.714028,-117.150411
424,Downtown,15-809,32.714049,-117.15043
425,Downtown,15-817,32.713904,-117.150397
426,Downtown,15-819,32.713899,-117.150483
