"zone","area","sub_area","pole","config_id","config_name","date_inventory","lat","lng","sapid"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1502","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.721131","-117.163959","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1504","49382","Sunday Mode","2021-01-04","32.721227","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1504","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.721227","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1506","49382","Sunday Mode","2021-01-04","32.721303","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1506","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.721303","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1508","49382","Sunday Mode","2021-01-04","32.721380","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1508","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.721380","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1510","49382","Sunday Mode","2021-01-04","32.721456","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1510","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.721456","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1512","49382","Sunday Mode","2021-01-04","32.721532","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1512","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.721532","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1514","49382","Sunday Mode","2021-01-04","32.721609","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1514","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.721609","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1516","49382","Sunday Mode","2021-01-04","32.721704","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1516","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.721704","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1518","49382","Sunday Mode","2021-01-04","32.721781","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1518","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.721781","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1524","49382","Sunday Mode","2021-01-04","32.721857","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1524","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.721857","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1526","49382","Sunday Mode","2021-01-04","32.721968","-117.163960","SS-000038"
"Downtown","Cortez Hill","1500 FIRST AVE","1-1526","16516","2 Hour Max $1.25 HR 8am-4pm Mon-Fri 4pm-6pm TOW AWAY 8am-6pm Sat (NFC)","2018-11-11","32.721968","-117.163960","SS-000038"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2001","49382","Sunday Mode","2021-01-04","32.726293","-117.163823","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2001","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.726293","-117.163823","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2005","49382","Sunday Mode","2021-01-04","32.726410","-117.163823","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2005","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.726410","-117.163823","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2007","49382","Sunday Mode","2021-01-04","32.726507","-117.163824","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2007","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.726507","-117.163824","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2009","49382","Sunday Mode","2021-01-04","32.726623","-117.163825","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2009","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.726623","-117.163825","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2011","49382","Sunday Mode","2021-01-04","32.726720","-117.163826","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2011","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.726720","-117.163826","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2013","49382","Sunday Mode","2021-01-04","32.726836","-117.163827","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2013","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.726836","-117.163827","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2015","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.726933","-117.163827","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2021","49382","Sunday Mode","2021-01-04","32.727049","-117.163828","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2021","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.727049","-117.163828","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2320","49382","Sunday Mode","2021-01-04","32.730043","-117.164148","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","1-2320","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-12-09","32.730043","-117.164148","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","2001-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.726293","-117.163823","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","2005-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.726410","-117.163823","SS-000024"
"Uptown","Bankers Hill","2000 FIRST AVE","2007-01-01 00:00:00","9000","2 Hour Max $1.25 HR 8am-6pm Mon-Sat (NFC)","2018-11-11","32.726507","-117.163824","SS-000024"
